job_id,first_seen_date,last_seen_date,title,company,location,is_remote,salary_min,salary_max,salary_currency,salary_period,salary_is_estimate,salary_raw,contract_type,contract_time,date_posted,source,url,description
7f2965c97587ea15,2026-08-20,2026-09-16,Data Engineer,Oscar Technology,London,False,60000.0,80000.0,GBP,annual,False,,,,2026-08-05,Reed,https://www.reed.co.uk/jobs/data-engineer/57199418,"Data Engineer Location: London (Hybrid) Salary: 60,000 - 75,000 + benefits The Role We are working with a fast-growing technology company that is continuing to invest heavily in its data platform as it scales. They are looking for a hands-on Data Engineer to help build and optimise modern cloud-based data infrastructure that supports analytics, reporting, and future AI initiatives across the..."
396bb35abdbf01c8,2026-08-20,2026-09-18,Data Engineering Consultant,Sanderson,South West England,True,600.0,700.0,GBP,daily,False,,contract,,2026-08-04,Reed,https://www.reed.co.uk/jobs/data-engineering-consultant/57194748,"Data Engineer 60 0-700/day outside IR35 6 month initial contract Remote working - ideally once a month onsite Working with a leading financial services client who are looking for a Data Engineering Consultant. Looking for someone who can act independently and can own end-to-end complex data products - work with stakeholders to understand requirements, engineer and deliver products. Data..."
0aeb537df4479e4f,2026-08-20,2026-09-14,Lead Data Engineer,Tenth Revolution Group,London,True,80000.0,110000.0,GBP,annual,False,,,,2026-08-03,Reed,https://www.reed.co.uk/jobs/lead-data-engineer/57189517,"Lead Data Engineer - Fully Remote (UK) - AWS - AI & Machine Learning - Up to 110,000 Are you a Senior Data Engineer looking for the opportunity to own a data function rather than simply contribute to one? We're working with a high-growth technology business that is scaling rapidly and investing heavily in its data, analytics and AI capabilities. The organisation develops cutting-edge products..."
484116b87ce5c0f0,2026-08-20,2026-08-31,Senior Data Engineer,Evergreen Finance,UK,True,70000.0,80000.0,GBP,annual,False,,,full_time,2026-08-01,Adzuna,https://www.adzuna.co.uk/jobs/details/5824391040?utm_medium=api&utm_source=jobaggregator,"No sponsorship on this role Senior Data Engineer Tech, UK Remote Overview Come join our growing software development and data engineering team, building and scaling the next generation of our loan offering and analytics platforms. We are looking for an experienced Data Engineer with initiative, drive, and strong service mindset, who will play a key role in developing scalable systems, robust data..."
6b594ed301a60530,2026-08-20,2026-09-10,Data Engineer - Snowflake / 3NF,Sanderson,London,False,550.0,600.0,GBP,daily,False,,contract,,2026-07-30,Reed,https://www.reed.co.uk/jobs/data-engineer-snowflake-3nf/57179170,"Data Engineer - Snowflake / 3NF Rate - 550 - 600 per day - Outside IR35 Location - London, once a month onsite Duration - Initial 6 Month Contract - Extensions Expected The Opportunity: We're supporting a major UK household brand within its loyalty and rewards division as it continues to invest heavily in its data platform and wider data strategy. As part of this growth, they are looking to..."
9b89c361662322c8,2026-08-20,2026-09-10,Data Engineer,Lynx Recruitment Ltd,SW1E5LB,False,50000.0,60000.0,GBP,annual,False,,,,2026-07-30,Reed,https://www.reed.co.uk/jobs/data-engineer/57177676,"Location: London (Hybrid) with occasional client travel Salary: Up to 60,000 We're recruiting for a Data Engineer to join a growing consultancy, delivering production-grade data platforms for some of the UK's leading organisations. This is a client-facing role where you'll design and build scalable cloud-based data solutions, working with modern technologies including AWS, Databricks and Agentic..."
651ff508e99401ca,2026-08-20,2026-09-18,Senior Data Engineer Microsoft Azure data,SThree UK,"The City, Central London",False,50000.0,70000.0,GBP,annual,False,,permanent,full_time,2026-07-29,Adzuna,https://www.adzuna.co.uk/jobs/details/5819149562?utm_medium=api&utm_source=jobaggregator,"Senior Data Engineer Microsoft Azure data This is a new and exclusive opportunity for a Senior Data Engineer with strengths in Microsoft Azure data to be a key lead in strengthening, evolving, and modernising our core data platforms. Job details Title: Senior Data Engineer Technical Stack: Microsoft Azure data Location: London or Glasgow with 1 day a week in the office Industry: STEM Technology..."
e727b5a56840055c,2026-08-20,2026-09-18,Senior Data Engineer Microsoft Azure data,Huxley Associates,"The City, Central London",False,70000.0,70000.0,GBP,annual,False,,permanent,,2026-07-29,Adzuna,https://www.adzuna.co.uk/jobs/details/5819016280?utm_medium=api&utm_source=jobaggregator,"Senior Data Engineer Microsoft Azure data This is a new and exclusive opportunity for a Senior Data Engineer with strengths in Microsoft Azure data to be a key lead in strengthening, evolving, and modernising our core data platforms. Job details Title: Senior Data Engineer Technical Stack: Microsoft Azure data Location: London or Glasgow with 1 day a week in the office Industry: STEM Technology..."
18b84bc6f5c020f2,2026-08-20,2026-08-22,"Senior Data Engineer (EU, EMEA Remote)",SavvyMoney,UK,True,78027.18,78027.18,GBP,annual,True,Adzuna estimate,,full_time,2026-07-29,Adzuna,https://www.adzuna.co.uk/jobs/details/5820082246?utm_medium=api&utm_source=jobaggregator,"SavvyMoney is a US based leading financial technology company. We provide integrated credit score and personal finance solutions to 1,600 bank and credit union partners throughout the United States. The SavvyMoney solutions integrate with more than 43 digital banking platforms. SavvyMoney was recently recognized by the San Francisco Business Times and the Silicon Valley Journal as one of the ""Top..."
953c7cd4b8ebc6bd,2026-08-20,2026-09-09,Data Engineer (PLM) – Engineering Data Migration,OP,Slough,False,38000.0,40000.0,GBP,annual,False,,contract,,2026-07-29,Reed,https://www.reed.co.uk/jobs/data-engineer-plm--engineering-data-migration/57172725,"An exciting opportunity has arisen for an Engineering Data Engineer to join a leading aerospace organisation on an 18-month contract, supporting a major Product Lifecycle Management (PLM) transformation programme. This role is not a traditional cloud data engineering position . Instead, you'll take ownership of migrating engineering and product data, including CAD models, engineering drawings,..."
